# ID	Clay	Silt	Sand	bulk_density	OM_content	CEC	pH	k_sat	WC_pF1.0	WC_pF1.5	WC_pF2.0	WC_pF2.3	WC_pF2.7	WC_pF3.5	WC_pF4.2
2111	0.07	0.1	0.83	1.67	-999	-999	-999	18.24	0.203636364	0.192222222	0.172	0.163333333	-999	-999	-999
2120	0.03	0.03	0.94	1.6	-999	-999	-999	472.8	0.115454545	0.082222222	0.064	0.06	-999	-999	-999
2121	0.03	0.025	0.945	1.63	-999	-999	-999	288	0.114545455	0.083333333	0.066	0.063333333	-999	-999	-999
2122	0.07	0.03	0.9	1.64	-999	-999	-999	460.8	0.139090909	0.112222222	0.094	0.09	-999	-999	-999
2123	0.07	0.025	0.905	1.55	-999	-999	-999	772.8	0.113636364	0.088888889	0.074	0.07	-999	-999	-999
2124	0.05	0.025	0.925	1.55	-999	-999	-999	1015.2	0.093636364	0.068888889	0.054	0.05	-999	-999	-999
2125	0.05	0.015	0.935	1.53	-999	-999	-999	1168.8	0.082727273	0.058888889	0.046	0.043333333	-999	-999	-999
2126	0.03	0.01	0.96	1.49	-999	-999	-999	1099.2	0.068181818	0.046666667	0.034	0.03	-999	-999	-999
2130	0.08	0.105	0.815	1.45	-999	-999	-999	25.99	0.243636364	0.228888889	0.204	0.196666667	-999	-999	-999
2131	0.13	0.08	0.79	1.72	-999	-999	-999	15.6	0.209090909	0.201111111	0.184	0.176666667	-999	-999	-999
2132	0.14	0.09	0.77	1.72	-999	-999	-999	5.52	0.231818182	0.223333333	0.204	0.196666667	-999	-999	-999
2160	0.25	0.225	0.525	0.781	-999	-999	-999	-999	0.584285714	0.568	0.546666667	0.535	0.52	-999	-999
2161	0.15	0.305	0.545	0.556	-999	-999	-999	-999	0.632857143	0.61	0.58	0.565	0.55	-999	-999
2170	0.22	0.26	0.52	0.804	3.4	-999	-999	-999	0.392	0.38	0.365	-999	-999	-999	-999
2171	0.36	0.195	0.445	1.16	1.3	-999	-999	-999	0.414	0.4075	0.4	-999	-999	-999	-999
2180	0.41	0.22	0.37	0.54	4.5	-999	-999	-999	0.376666667	0.355	0.355	-999	-999	-999	-999
2181	0.49	0.195	0.315	0.55	1.6	-999	-999	-999	0.536	0.515	0.495	-999	-999	-999	-999
2190	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.166666667	0.105	0.06	-999	-999	-999	-999
2191	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.192	0.09	-999	-999	-999	-999	-999
2192	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.1425	0.09	-999	-999	-999	-999	-999
2193	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.1675	0.08	-999	-999	-999	-999	-999
2194	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.15	0.1	-999	-999	-999	-999	-999
2195	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.226	0.125	-999	-999	-999	-999	-999
2196	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.1	-999	-999	-999	-999	-999	-999
2197	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.1675	0.09	-999	-999	-999	-999	-999
2198	0.03	0.025	0.945	1.55	-999	-999	-999	-999	0.1475	0.11	-999	-999	-999	-999	-999
2200	0.02	0	0.98	1.65	-999	-999	-999	-999	0.265	-999	-999	-999	-999	-999	-999
2201	0.02	0	0.98	1.65	-999	-999	-999	-999	0.153333333	-999	-999	-999	-999	-999	-999
2202	0.02	0	0.98	1.65	-999	-999	-999	-999	0.192	-999	-999	-999	-999	-999	-999
2203	0.02	0	0.98	1.65	-999	-999	-999	-999	0.19	-999	-999	-999	-999	-999	-999
2210	0.03	0.01	0.96	1.826	-999	2	4.2	254	0.085714286	0.085714286	0.081666667	0.07	-999	-999	-999
2211	0.03	0.01	0.96	1.741	-999	-999	4.2	464	0.078333333	0.078333333	0.06	-999	-999	-999	-999
2212	0.03	0.01	0.96	1.741	-999	2	4.2	464	0.08	0.08	0.08	-999	-999	-999	-999
2213	0.03	0.01	0.96	1.754	-999	2	4.2	369	0.088571429	0.088571429	0.08	-999	-999	-999	-999
2214	0.03	0.01	0.96	1.787	-999	2	4.2	301	0.11	0.11	-999	-999	-999	-999	-999
